ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
21005,MATH,8510,001,Lecture,"3","Peter Christopher Leslie Humphries","TuTh 11:00am - 12:15pm","","Topics in Number Theory","Analytic Number Theory",Open,5,12,0
13060,MATH,8710,001,Lecture,"3","You Qi","MoWe 2:00pm - 3:15pm","","Lie Algebras","",Open,7,12,0
14135,MATH,8750,001,Lecture,"3","Slava Krushkal","TuTh 11:00am - 12:15pm","","Topology of Manifolds","",Open,4,12,0
10257,MATH,8998,001,IND,"1 - 12","Peter Abramenko","TBA","","Non-Topical Research, Preparation for Research","",Open,0,50,0
10258,MATH,8999,001,IND,"1 - 12","Zoran Grujic","TBA","","Non-Topical Research","",Open,0,50,0
12497,MATH,8999,002,IND,"1 - 12","Ken Ono","TBA","","Non-Topical Research","",Open,0,50,0
12418,MATH,9010,001,SEM,"1 - 3","Evangelia Gazaki","Fr 1:00pm - 1:50pm","","Ramanujan-Serre Seminar","",Open,7,18,0
10468,MATH,9250,001,SEM,"3","Aseel Farhat","Tu 3:30pm - 5:30pm","","Harmonic Analysis and PDEs","",Open,2,20,0
10469,MATH,9310,001,SEM,"3","Benjamin Hayes","Tu 3:30pm - 4:45pm","","Operator Theory Seminar","",Open,6,15,0
10562,MATH,9360,001,Lecture,"3","Christian Gromoll","Fr 1:00pm - 3:00pm","","Probability Seminar","",Open,1,12,0
11372,MATH,9410,001,SEM,"3","Andrei Rapinchuk","Tu 3:30pm - 6:00pm","","Galois-Grothendieck Seminar","",Open,4,22,0
20579,MATH,9450,001,SEM,"3","Abdelmalek Abdesselam","We 2:00pm - 3:15pm","","Mathematical Physics Seminar","",Open,1,12,0
10564,MATH,9820,001,SEM,"1 - 3","Thomas Mark","TuTh 2:00pm - 3:15pm","","Geometry and Topology Seminar","",Open,16,18,0
10470,MATH,9950,001,SEM,"3","You Qi","WeFr 3:30pm - 4:45pm","","Algebra Seminar","",Open,3,18,0
12496,MATH,9995,001,IND,"3 - 9","Evangelia Gazaki","TBA","","Independent Research","",Open,3,10,0
11774,MATH,9995,002,IND,"3 - 9","Leonid Petrov","TBA","","Independent Research","",Open,2,10,0
12927,MATH,9995,003,IND,"3 - 9","Mikhail Ershov","TBA","","Independent Research","",Open,0,30,0
12931,MATH,9995,004,IND,"3 - 9","Benjamin Hayes","TBA","","Independent Research","",Open,2,30,0
11084,MATH,9995,005,IND,"3 - 9","Thomas Mark","TBA","","Independent Research","",Open,1,20,0
14338,MATH,9995,006,IND,"3 - 9","Peter Christopher Leslie Humphries","TBA","","Independent Research","",Open,0,30,0
